артикул_маркета,батарейки_в_комплекте,бренд,вес,встроенная_акустическая_система,высота,гарантийный_срок,глубина,жесткость_клавиатуры,карточка_названия,количество_клавиш,количество_тембров,количество_треков_записи,корпус,педали,питание,полифония,размер_клавиш,разъемы_и_интерфейсы,синтезатор_для_детей,ссылка,тип,цвет,цвет_товара,цена,ширина
103479325071,,Yamaha,11.5 кг,да,154 мм,,295 мм,,Пианино цифровое Yamaha P-45 B,88,10,,классический,подключаемые,питание от сети,64,полноразмерные,"USB Type B, выход на наушники",нет,FAKE,цифровое пианино,коричневый,коричневый,53190,1326 мм
103479325071,,Yamaha,11.5 кг,да,154 мм,,295 мм,,Пианино цифровое Yamaha P-45 B,88,10,,классический,подключаемые,питание от сети,64,полноразмерные,"USB Type B, выход на наушники",нет,https://market.yandex.ru/card/pianino-tsifrovoye-yamaha-p-45-b/103479325071,цифровое пианино,коричневый,коричневый,52190,1326 мм
102384501726,,Yamaha,11.1 кг,да,,,,,Цифровое пианино Yamaha P-145B,88,,,,подключаемые,,,полноразмерные,,,https://market.yandex.ru/card/tsifrovoye-pianino-yamaha-p-145b/102384501726,цифровое пианино,черный,черный,54637,
4331332692,да,monk,11.2 кг,,120 мм,,,взвешенная,"Цифровое пианино Monk M8 белое, молоточковая механика, педаль в комплекте",88,169,,,подключаемые,,128,,,,https://market.yandex.ru/card/tsifrovoye-pianino-monk-m8-beloye/4331332692,,белый,белый,34111,250 мм
103160566352,,CASIO,14 кг,,,1 г.,,взвешенная,"Цифровое фортепиано CASIO CDP-S160RDC2, 88 клавиш, без б/п, красный",88,10,,,отсутствуют,"питание от сети, работа от батареек/аккумулятора",64,полноразмерные,"USB Type B, DAMPER PEDAL, DC 12V, PEDAL UNIT",нет,https://market.yandex.ru/card/casio-cdp-s160rdc2-tsifrovoye-fortepiano-88-klavish-bez-bp-ad-a12150lw/103160566352,фортепиано,красный,красный,41506,
5042127510,,Tesler,,,,,,,Цифровое пианино Tesler STZ-8810 Smoky Oak,88,,,,,~230 В,189,полноразмерные,,,https://market.yandex.ru/card/tsifrovoye-pianino-tesler-stz-8810-smoky-oak/5042127510,,дымчатый,дымчатый,35831,
103242130431,,Roland,19.3 кг,да,151 мм,,284 мм,взвешенная,"ROLAND FP-30X Цифровое пианино, взвешенная клавиатура, цвет черный",88,56,,,подключаемые,питание от сети,256,полноразмерные,"USB Type A, USB Type B, выход на наушники x 2",нет,https://market.yandex.ru/card/roland-fp-30x-tsifrovoye-pianino-tsvet-chernyy/103242130431,,черный,черный,71791,1300 мм
102190019324,нет,Kurzweil,49 кг,да,815 мм,,420 мм,взвешенная,"Цифровое пианино Kurzweil M90 WH белое, с банкеткой, молоточковая механика",88,16,2,,встроенные,питание от сети,64,полноразмерные,"USB Type A, USB Type B, вход MIDI, выход MIDI, линейный вход",нет,https://market.yandex.ru/card/tsifrovoye-pianino-kurzweil-m90-wh-beloye-s-banketkoy/102190019324,цифровое пианино,белый,белый,85310,1380 мм
102190019324,нет,Kurzweil,49 кг,да,815 мм,,420 мм,взвешенная,"Цифровое пианино Kurzweil M90 WH белое, с банкеткой, молоточковая механика",88,16,2,,встроенные,питание от сети,64,полноразмерные,"USB Type A, USB Type B, вход MIDI, выход MIDI, линейный вход",нет,FAKE,цифровое пианино,белый,белый,86310,1380 мм
102190019324,нет,Kurzweil,49 кг,да,815 мм,,420 мм,взвешенная,"Цифровое пианино Kurzweil M90 WH белое, с банкеткой, молоточковая механика",88,16,2,,встроенные,питание от сети,64,полноразмерные,"USB Type A, USB Type B, вход MIDI, выход MIDI, линейный вход",нет,FAKE,цифровое пианино,белый,белый,87310,1380 мм
